URL,Poet Name,Birth Year,Death Year,Extra Info
/wiki/Amos_Bronson_Alcott,Amos Bronson Alcott,1799,1888,"Amos Bronson Alcott (1799–1888), American poet and teacher"
/wiki/Richard_Aldington,Richard Aldington,1892,1962,"Richard Aldington (1892–1962), English poet and writer"
/wiki/Vasile_Alecsandri,Vasile Alecsandri,1821,1890,"Vasile Alecsandri (1821–1890), Romanian poet"
/wiki/Tudur_Aled,Tudur Aled,1465,1525,"Tudur Aled (c. 1465–1525), Welsh poet writing in Welsh"
/wiki/Claribel_Alegr%C3%ADa,Claribel Alegría,1924,2018,"Claribel Alegría (1924–2018), Central American poet writing in Spanish"
/wiki/Vicente_Aleixandre,Vicente Aleixandre,1898,1984,"Vicente Aleixandre (1898–1984), Spanish poet, Nobel Laureate 1977"
/wiki/Josip_Murn_Aleksandrov,Josip Murn Aleksandrov,1879,1901,"Josip Murn Aleksandrov (1879–1901), Slovene symbolist poet"
/wiki/Sherman_Alexie,Sherman Alexie,1966,unknown,"Sherman Alexie (born 1966), American poet and writer"
/wiki/Felipe_Alfau,Felipe Alfau,1902,1999,"Felipe Alfau (1902–1999), Catalan American novelist and poet"
/wiki/Agha_Shahid_Ali,Agha Shahid Ali,1949,2001,"Agha Shahid Ali (1949–2001) Indian, Kashmiri and American poet"
/wiki/Dante_Alighieri,Dante Alighieri,1265,1321,"Dante Alighieri (1265–1321), Italian poet"
/wiki/James_Alexander_Allan,James Alexander Allan,1889,1956,"James Alexander Allan (1889–1956), Australian poet"
/wiki/August_Alle,August Alle,1899,1952,"August Alle (1899–1952), Estonian poet"
/wiki/William_Allegrezza,William Allegrezza,1974,unknown,"William Allegrezza (born 1974), American poet, professor and editor"
/wiki/Dick_Allen_(poet),Dick Allen,1939,unknown,"Dick Allen (born 1939), American poet, critic and academic"
/wiki/Donald_Allen,Donald Allen,1912,2004,"Donald Allen (1912–2004), American poet, editor and translator"
/wiki/Elizabeth_Akers_Allen,Elizabeth Akers Allen,1832,1911,"Elizabeth Akers Allen (1832–1911), American author and poet"
/wiki/Ron_Allen_(playwright),Ron Allen,1947,2010,"Ron Allen (1947–2010), American poet and playwright"
/wiki/Artur_Alliksaar,Artur Alliksaar,1923,1966,"Artur Alliksaar (1923–1966), Estonian poet"
/wiki/William_Allingham,William Allingham,1828,1889,"William Allingham (1824 or 1828 – 1889), Irish poet and man of letters"
/wiki/Washington_Allston,Washington Allston,1779,1843,"Washington Allston (1779–1843), American painter and poet"
/wiki/Damaso_Alonso,Damaso Alonso,1898,1990,"Damaso Alonso (1898–1990), Spanish poet, philologist and critic"
/wiki/Alta_(poet),Alta,1942,unknown,"Alta (Alta Gerrey; born 1942), American poet and writer"
/wiki/Natan_Alterman,Natan Alterman,1910,1970,"Natan Alterman (1910–1970), Israeli poet, journalist and translator"
/wiki/Alurista,Alurista,1947,unknown,"Alurista (born 1947), Chicano poet and activist"
/wiki/Al_Alvarez,Al Alvarez,1929,unknown,"Al Alvarez (born 1929), English poet"
/wiki/Julia_Alvarez,Julia Alvarez,1950,unknown,"Julia Alvarez (born 1950), Dominican-American poet, novelist and essayist"
/wiki/Betti_Alver,Betti Alver,1906,1989,"Betti Alver (1906–1989), Estonian poet"
/wiki/Moniza_Alvi,Moniza Alvi,1954,unknown,"Moniza Alvi (born 1954), Pakistani-British poet and writer"
/wiki/Amara_Sinha,Amara Sinha,375 AD, AD,"Amara Sinha (fl. c. AD 375), Sanskrit grammarian and poet"
/wiki/Ambroise,Ambroise,1190,,"Ambroise (fl. c. 1190), Norman-French poet of Third Crusade"
/wiki/Yehuda_Amichai,Yehuda Amichai,1924,2000,"Yehuda Amichai (1924–2000), Israeli poet"
